Model year,Make,Model,Trim,Fuel Type, Incentive for Purchase or 48 month Lease , Incentive for 12 month Lease , Incentive for 24 month Lease , Incentive for 36 month Lease ,Eligibility date
2024,Alfa Romeo,Tonale,Sprint PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-01
2024,Alfa Romeo,Tonale,Veloce PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-01
2023,Audi,Q4 50 e-tron Quattro,Veloce PHEV,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-05
2022,Audi,Q4 e-tron Quattro,Veloce PHEV,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2018,Audi,A3 Sportback e-tron,Progressiv,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Audi,A3 Sportback e-tron,Technik,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2023,BMW,330e,RWD,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-05
2023,BMW,330e,xDrive,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-05
2023,BMW,i4,eDrive35,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-08
2023,BMW,i4,eDrive40,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-08
2022,BMW,330e,RWD,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-02
2022,BMW,330e,xDrive,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-02
2022,BMW,X3,xDrive30e,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2022,BMW,i4,eDrive40,BEV,"$5,000","$1,250","$2,500","$3,750",2022-05-03
2021,BMW,330e,RWD,PHEV,"$2,500",$625,"$1,250","$1,875",2020-04-21
2021,BMW,330e,xDrive,PHEV,"$2,500",$625,"$1,250","$1,875",2020-04-21
2021,BMW,X3,xDrive30e,PHEV,"$2,500",$625,"$1,250","$1,875",2022-07-25
2021,BMW,i3,Range Extender,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-12-21
2021,BMW,i3,s Range Extender,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-12-21
2021,BMW,i3,Base,BEV,"$5,000","$1,250","$2,500","$3,750",2020-12-21
2021,BMW,i3,s,BEV,"$5,000","$1,250","$2,500","$3,750",2020-12-21
2020,BMW,i3,Range Extender,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,BMW,i3,s Range Extender,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,BMW,i3,Base,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,BMW,i3,s,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2018,BMW,i3,Range Extender,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-29
2018,BMW,i3,s Range Extender,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-29
2018,BMW,i3,Base,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-29
2018,BMW,i3,s,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-29
2023,Chevrolet,Bolt EUV,LT,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-15
2023,Chevrolet,Bolt EUV,Premier,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-15
2023,Chevrolet,Bolt EV,LT,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-15
