Make,Model,Trim,Model,Fuel Type,MSRP Limit, Tax Credit Amount 
CADILLAC (GM),Lyriq,Lyriq,2023,BEV,80000," $7,500 "
CHEVROLET,Blazer ,EV,2024,BEV,55000," $7,500 "
CHEVROLET,Bolt ,EUV,2022,BEV,55000," $7,500 "
CHEVROLET,Bolt ,EV,2022,BEV,55000," $7,500 "
CHEVROLET,Equinox ,EV,2024,BEV,55000," $7,500 "
CHEVROLET,Silverado ,EV,2024,BEV,80000," $7,500 "
FORD,F-150 ,Lightning,2022,BEV,80000," $7,500 "
FORD,Mustang ,Mach-E,2022,BEV,80000," $3,750 "
FORD,E-Transit,E-Transit,2022,BEV,80000," $3,750 "
RIVIAN,R1T,R1T,2023,BEV,80000," $3,750 "
RIVIAN,R1S,R1S,2023,BEV,80000," $3,750 "
TESLA,Model 3,Standard Range RWD,2022,BEV,55000," $7,500 "
TESLA,Model 3,Long Range,2022,BEV,55000," $7,500 "
TESLA,Model 3,Performance,2022,BEV,55000," $7,500 "
TESLA,Model Y,AWD,2022,BEV,80000," $7,500 "
TESLA,Model Y,Long Range,2022,BEV,80000," $7,500 "
TESLA,Model Y,Performance,2022,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 ,ID.4 ,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 ,S,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 Pro,Pro,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 Pro ,Pro S,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 Pro ,Pro S Plus,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 AWD ,AWD Pro,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 ,AWD Pro S,2023,BEV,80000," $7,500 "
VOLKSWAGEN,ID.4 AWD ,AWD Pro S Plus,2023,BEV,80000," $7,500 "
BMW,X5 ,xDrive50e,2024,PHEV,80000," $3,750 "
CHRYSLER,Pacifica,Pacifica,2022,PHEV,80000," $7,500 "
FORD,Escape,Escape,2022,PHEV,80000," $3,750 "
JEEP,Grand ,Cherokee,2022,PHEV,80000," $3,750 "
JEEP,Wrangler,Wrangler,2022,PHEV,80000," $3,750 "
LINCOLN,Aviator ,Grand Touring,2022,PHEV,80000," $7,500 "
LINCOLN,Corsair ,Grand Touring,2022,PHEV,80000," $3,750 "
